window_start,entry_second,direction,amount,entry_price,btc_at_entry,btc_change_pct,real_poly_up,real_poly_down,actual_outcome,won,pnl,confidence,unanimous,exit_reason,exit_second,judge_1,judge_2,judge_3
2026-03-12T00:20:00+00:00,84.0,DOWN,200.0,0.47,70191.02,-0.05788591044414101,0.535,0.46499999999999997,UP,False,-114.89361702127658,0.8909514015623478,True,"stop_loss(roi=-57.45% <= -46.67%, hold=116.0s >= 60.0s, conf=0.891, rem=100.0s, btc_entry_move=+0.0943%)",200.0,DOWN,DOWN,DOWN
2026-03-12T00:25:00+00:00,63.0,DOWN,200.0,0.52,70299.96,-0.07653633560396152,0.5,0.5,DOWN,True,182.61538461538458,0.5539527393319039,True,,,DOWN,DOWN,DOWN
2026-03-12T02:15:00+00:00,159.0,DOWN,200.0,0.51,69754.71,-0.054739008906298466,0.495,0.505,DOWN,True,190.156862745098,0.8138850677898315,True,,,DOWN,DOWN,DOWN
2026-03-12T07:20:00+00:00,157.0,UP,200.0,0.47,69575.09,0.06584831190949107,0.46499999999999997,0.535,UP,True,223.53191489361706,0.9471333333333334,True,,,UP,UP,UP
2026-03-12T12:55:00+00:00,123.0,DOWN,200.0,0.52,70354.61,-0.0317243216602518,0.485,0.515,UP,False,-173.07692307692307,0.53946124930946,True,"hard_adverse_flush(opposite_ask=0.930 >= 0.930, roi=-86.54% <= -45.00%, rem=29.0s, adverse=False)",271.0,DOWN,DOWN,DOWN
2026-03-12T13:50:00+00:00,77.0,DOWN,200.0,0.51,70019.71,-0.04021413437342254,0.495,0.505,DOWN,True,190.156862745098,0.5370300691288297,True,,,DOWN,DOWN,DOWN
2026-03-12T14:20:00+00:00,48.0,DOWN,200.0,0.52,70121.7,-0.05737564896286016,0.485,0.515,UP,False,-107.69230769230771,0.5028590190446339,True,"stop_loss(roi=-53.85% <= -51.13%, hold=184.0s >= 60.0s, conf=0.503, rem=68.0s, btc_entry_move=+0.0988%)",232.0,DOWN,DOWN,DOWN
2026-03-12T15:00:00+00:00,76.0,UP,200.0,0.39,69619.93,0.03467019509541934,0.385,0.615,UP,True,310.8205128205128,0.9471333333333334,True,,,UP,UP,UP
2026-03-12T15:10:00+00:00,246.0,UP,200.0,0.5,69658.26,0.06571033016552606,0.49,0.51,UP,True,198.0,0.9417333333333334,True,,,UP,UP,UP
2026-03-12T15:15:00+00:00,57.0,DOWN,200.0,0.51,69713.36,-0.06244217601697855,0.505,0.495,UP,False,-105.88235294117648,0.5057133166303832,True,"stop_loss(roi=-52.94% <= -52.12%, hold=116.0s >= 60.0s, conf=0.506, rem=127.0s, btc_entry_move=+0.1688%)",173.0,DOWN,DOWN,DOWN
2026-03-12T15:35:00+00:00,161.0,UP,200.0,0.41,70299.22,0.06865210035122324,0.395,0.605,UP,True,285.8048780487805,0.8787333333333334,True,,,UP,UP,UP
2026-03-12T16:00:00+00:00,195.0,UP,200.0,0.51,70360.57,0.031486322913015716,0.505,0.495,UP,True,190.156862745098,0.7951763126921368,True,,,UP,UP,UP
2026-03-12T17:00:00+00:00,109.0,DOWN,200.0,0.5,70362.23,-0.0400352432337472,0.51,0.49,UP,False,-128.0,0.6545548676903007,True,"stop_loss(roi=-64.00% <= -46.18%, hold=120.0s >= 60.0s, conf=0.655, rem=71.0s, btc_entry_move=+0.1133%)",229.0,DOWN,DOWN,DOWN
2026-03-12T17:15:00+00:00,68.0,DOWN,200.0,0.49,70390.72,-0.07657167828309415,0.515,0.485,DOWN,True,206.16326530612247,0.925718961298221,True,,,DOWN,DOWN,DOWN
2026-03-12T17:25:00+00:00,63.0,UP,200.0,0.48,70488.35,0.07000951482295213,0.47,0.53,DOWN,False,-100.0,0.8091457637041514,True,"stop_loss(roi=-50.00% <= -46.52%, hold=146.0s >= 60.0s, conf=0.809, rem=91.0s, btc_entry_move=-0.1560%)",209.0,UP,UP,UP
2026-03-12T18:00:00+00:00,63.0,DOWN,200.0,0.44,70195.0,-0.042990113859813744,0.565,0.435,DOWN,True,252.54545454545456,0.8531017585753305,True,,,DOWN,DOWN,DOWN
2026-03-12T19:00:00+00:00,50.0,UP,200.0,0.51,69877.91,0.06785683372955671,0.505,0.495,UP,True,190.156862745098,0.7668559913895295,True,,,UP,UP,UP
2026-03-12T20:15:00+00:00,73.0,DOWN,200.0,0.52,70368.51,-0.06109441607935319,0.485,0.515,DOWN,True,182.61538461538458,0.7696499464917248,True,,,DOWN,DOWN,DOWN
2026-03-12T23:05:00+00:00,123.0,UP,200.0,0.43,70458.36,0.05285815743493665,0.41000000000000003,0.59,UP,True,-111.62790697674419,0.8445333333333332,True,"stop_loss(roi=-55.81% <= -45.75%, hold=132.0s >= 60.0s, conf=0.845, rem=45.0s, btc_entry_move=-0.0938%)",255.0,UP,UP,UP
2026-03-13T01:50:00+00:00,255.0,UP,200.0,0.48,71635.18,0.034894815355494484,0.475,0.525,UP,True,214.66666666666669,0.9759333333333333,True,,,UP,UP,UP
2026-03-13T02:10:00+00:00,61.0,UP,200.0,0.5,71604.96,0.047014244336976325,0.495,0.505,DOWN,False,-172.0,0.552737554953978,True,"hard_adverse_flush(opposite_ask=0.930 >= 0.930, roi=-86.00% <= -45.00%, rem=13.0s, adverse=False)",287.0,UP,UP,UP
2026-03-13T02:35:00+00:00,142.0,DOWN,200.0,0.5,71330.01,-0.03860887021380677,0.51,0.49,DOWN,True,-128.0,0.7105789668860988,True,"stop_loss(roi=-64.00% <= -46.57%, hold=64.0s >= 60.0s, conf=0.711, rem=94.0s, btc_entry_move=+0.1097%)",206.0,DOWN,DOWN,DOWN
2026-03-13T02:45:00+00:00,79.0,DOWN,200.0,0.5,71125.76,-0.05563357965501193,0.505,0.495,UP,False,-200.0,0.797249396870638,True,,,DOWN,DOWN,DOWN
2026-03-13T03:15:00+00:00,243.0,UP,200.0,0.51,71200.74,0.03232766739142771,0.505,0.495,UP,True,190.156862745098,0.803862296728767,True,,,UP,UP,UP
2026-03-13T08:50:00+00:00,91.0,DOWN,200.0,0.52,71817.17,-0.08898893761989476,0.485,0.515,DOWN,True,182.61538461538458,0.9227146019956218,True,,,DOWN,DOWN,DOWN
2026-03-13T09:30:00+00:00,140.0,UP,200.0,0.39,71921.01,0.13229789531171368,0.385,0.615,UP,True,310.8205128205128,0.9471333333333334,True,,,UP,UP,UP
2026-03-13T09:40:00+00:00,157.0,UP,200.0,0.5,71863.19,0.048248634676195924,0.495,0.505,UP,True,198.0,0.6265090415987764,True,,,UP,UP,UP
2026-03-13T09:45:00+00:00,138.0,UP,200.0,0.51,71907.28,0.035096053045396695,0.5,0.505,UP,True,190.156862745098,0.4988008732687876,True,,,UP,UP,UP
2026-03-13T09:55:00+00:00,133.0,UP,200.0,0.51,72055.57,0.058083935288201535,0.505,0.485,DOWN,False,-200.0,0.8693408942168567,True,,,UP,UP,UP
2026-03-13T10:20:00+00:00,97.0,DOWN,200.0,0.52,72356.92,-0.17969251856426283,0.485,0.515,DOWN,True,182.61538461538458,0.8656,True,,,DOWN,DOWN,DOWN
2026-03-13T10:30:00+00:00,79.0,UP,200.0,0.52,72400.94,0.051674794199844096,0.515,0.485,UP,True,-107.69230769230771,0.4763103986665893,True,"stop_loss(roi=-53.85% <= -52.38%, hold=78.0s >= 60.0s, conf=0.476, rem=143.0s, btc_entry_move=-0.1041%)",157.0,UP,UP,UP
2026-03-13T14:40:00+00:00,108.0,DOWN,200.0,0.51,73479.74,-0.03501919771660591,0.495,0.505,DOWN,True,190.156862745098,0.6916350911132828,True,,,DOWN,DOWN,DOWN
2026-03-13T14:55:00+00:00,93.0,DOWN,200.0,0.49,72551.88,-0.08061958696464089,0.52,0.48,DOWN,True,206.16326530612247,0.8574446004943453,True,,,DOWN,DOWN,DOWN
2026-03-13T15:05:00+00:00,45.0,DOWN,200.0,0.48,72326.8,-0.08968028967399769,0.525,0.475,UP,False,-133.33333333333331,0.9471333333333334,True,"stop_loss(roi=-66.67% <= -48.25%, hold=60.0s >= 60.0s, conf=0.947, rem=195.0s, btc_entry_move=+0.2443%)",105.0,DOWN,DOWN,DOWN
2026-03-13T15:10:00+00:00,113.0,DOWN,200.0,0.51,72565.02,-0.07588879928424087,0.5,0.5,UP,False,-117.64705882352942,0.5960948329603668,True,"stop_loss(roi=-58.82% <= -50.72%, hold=144.0s >= 60.0s, conf=0.596, rem=43.0s, btc_entry_move=+0.1033%)",257.0,DOWN,DOWN,DOWN
2026-03-13T15:45:00+00:00,66.0,DOWN,100.0,0.52,71967.29,-0.035801265080269346,0.495,0.505,UP,False,-55.769230769230774,0.5630336754618309,True,"stop_loss(roi=-55.77% <= -52.73%, hold=70.0s >= 60.0s, conf=0.563, rem=164.0s, btc_entry_move=+0.1502%)",136.0,DOWN,DOWN,DOWN
2026-03-13T16:00:00+00:00,100.0,DOWN,50.0,0.5,71822.41,-0.034071511232039164,0.51,0.49,DOWN,True,49.5,0.7149039843424337,True,,,DOWN,DOWN,DOWN
2026-03-13T16:20:00+00:00,77.0,DOWN,200.0,0.49,71378.08,-0.04344995678432288,0.515,0.485,DOWN,True,-110.20408163265306,0.8143682018087524,True,"stop_loss(roi=-55.10% <= -47.55%, hold=70.0s >= 60.0s, conf=0.814, rem=153.0s, btc_entry_move=+0.1834%)",147.0,DOWN,DOWN,DOWN
